aX,aY,aZ,gX,gY,gZ
0.166,0.031,0.849,-66.772,21.973,0
0.153,-0.006,0.871,-82.031,11.597,-2.014
0.169,-0.019,0.828,-89.661,0.61,-6.165
0.179,-0.009,0.782,-88.623,-8.789,-11.841
0.2,0.033,0.756,-78.552,-15.564,-13.245
0.196,0.075,0.75,-63.599,-18.311,-9.644
0.202,0.106,0.751,-48.523,-15.503,-2.197
0.216,0.116,0.739,-32.898,-8.179,5.615
0.215,0.112,0.74,-16.235,-0.061,11.047
0.183,0.104,0.757,0.305,6.042,16.724
0.13,0.099,0.794,14.832,9.644,22.644
0.083,0.102,0.857,24.841,12.39,22.522
0.089,0.11,0.881,29.236,14.771,15.869
0.115,0.113,0.908,24.475,16.479,5.676
0.139,0.093,0.907,17.578,14.709,-2.869
0.168,0.075,0.905,11.536,9.216,-6.47
0.184,0.074,0.896,7.935,1.526,-6.042
0.179,0.08,0.895,6.958,-5.981,-3.54
0.176,0.09,0.902,7.446,-11.963,-0.366
0.165,0.078,0.916,8.423,-15.93,2.258
0.139,0.072,0.939,11.475,-17.578,4.089
0.127,0.084,0.963,15.015,-16.846,3.113
-0.121,-1.958,1.115,728.699,-250.61,-72.51
-0.068,-1.772,1.654,640.015,-277.405,-7.69
-0.157,-1.529,2.079,554.626,-295.349,66.772
-0.298,-1.355,2.417,477.539,-254.7,120.911
-0.404,-1.251,2.688,417.419,-139.954,129.456
-0.457,-1.142,2.664,377.319,8.179,88.867
-0.476,-1.088,2.398,333.557,121.46,38.696
-0.488,-1.094,2.076,269.409,160.95,15.198
-0.503,-1.112,1.82,191.956,135.132,6.897
-0.531,-1.126,1.681,115.479,78.43,-5.981
-0.427,-1.144,1.761,38.147,35.522,-20.569
-0.348,-1.2,1.894,-28.564,9.521,-34.912
-0.247,-1.175,2.061,-87.708,2.991,-39.49
-0.182,-1.169,2.161,-140.808,22.278,-33.997
-0.038,-1.104,2.275,-195.129,65.063,-22.095
0.037,-1.056,2.268,-244.995,108.643,-4.578
0.011,-1.017,2.162,-291.321,148.071,15.625
-0.079,-0.954,2.027,-340.149,191.04,39.001
-0.197,-0.934,1.85,-386.597,233.215,62.866
-0.257,-0.903,1.681,-431.274,269.287,82.214
-0.367,-0.935,1.487,-472.473,291.87,84.778
-0.401,-0.889,1.313,-503.052,297.119,77.82
-0.366,-0.86,1.12,-524.597,285.645,65.186
-0.276,-0.859,0.922,-544.8,260.132,50.842
-0.147,-0.775,0.705,-560.059,218.018,43.762
-0.042,-0.645,0.532,-560.669,163.818,42.969
0.061,-0.482,0.37,-548.767,116.943,44.8
0.171,-0.334,0.257,-528.748,91.309,47.913
0.244,-0.224,0.157,-500.061,88.928,53.223
0.275,-0.117,0.056,-463.013,103.76,62.988
0.259,-0.029,-0.017,-414.368,122.803,75.073
0.244,0.11,-0.079,-361.206,144.043,84.717
0.191,0.213,-0.158,-313.904,161.682,84.534
0.151,0.298,-0.276,-266.602,163.269,81.116
0.171,0.396,-0.414,-215.271,142.273,70.923
0.185,0.497,-0.519,-162.903,100.952,50.72
0.19,0.544,-0.519,-117.065,53.162,30.212
0.177,0.517,-0.424,-83.374,11.292,16.785
0.165,0.441,-0.305,-55.908,-20.935,8.972
0.161,0.35,-0.213,-28.87,-42.236,1.587
0.162,0.3,-0.188,4.089,-52.429,-7.935
0.213,0.302,-0.208,44.006,-56.274,-18.555
0.218,0.29,-0.258,86.67,-62.683,-27.71
